"customer_id","first_name","last_name","list_price"
1545,Carver,Saturley,12.01
1536,Tiffany,Fanshaw,12.01
1489,Mead,Wollard,12.01
1467,Alysia,Cantrill,12.01
1431,Derek,Malafe,12.01
1420,Minni,Hanner,12.01
1413,Vi,Lauga,12.01
1405,Kylie,Spriggin,12.01
1370,Chastity,Martinat,12.01
1352,Jerald,Lesly,12.01
1340,Crawford,Dreini,12.01
1323,Kristofor,Mockes,12.01
1315,Ebba,Comport,12.01
1301,Trix,"",12.01
1284,Alexis,Aronov,12.01
1270,Cullen,Langshaw,12.01
1239,Carroll,Cobbin,12.01
1238,Steward,Beedham,12.01
1229,Sebastian,Trass,12.01
1228,Marti,Bisterfeld,12.01
1153,Mirilla,Lothlorien,12.01
1137,Jermayne,Hryniewicki,12.01
1108,Ginnie,Farriar,12.01
1067,Berri,Cotillard,12.01
1063,Terrence,Geck,12.01
1053,Davon,Stanyland,12.01
1047,Standford,Tanswill,12.01
1034,Denney,Cretney,12.01
982,Tibold,Bonwell,12.01
968,Wayne,Woodfin,12.01
947,Hyacinth,Naldrett,12.01
928,Porty,Clemmitt,12.01
919,Grove,Peltzer,12.01
903,Hewe,Lidgley,12.01
874,Howard,Oseland,12.01
871,Janka,Yesinin,12.01
842,Mahmud,Dobbson,12.01
835,Zachary,Matyukon,12.01
832,Shaun,Murphey,12.01
816,Donni,Boor,12.01
789,Gabrielle,Giraudot,12.01
784,Frederik,Duckett,12.01
781,Elvis,O'Leagham,12.01
765,Valeria,Chazette,12.01
739,Arnie,Zorn,12.01
710,Benton,Oakly,12.01
700,Josias,Mulliner,12.01
696,Arch,Gaitskill,12.01
692,Goraud,Ayling,12.01
682,Ole,Euplate,12.01
661,Cinderella,Haslen,12.01
633,Alair,Hopkins,12.01
620,Willy,Langley,12.01
611,Otto,Huriche,12.01
579,Cathlene,Bellas,12.01
568,Quinn,Fulks,12.01
562,Lindy,Fitzpayn,12.01
561,Karin,Burkill,12.01
540,Tresa,Dy,12.01
539,Hobie,Knappett,12.01
516,Craggy,Loadsman,12.01
503,Burr,Gerb,12.01
495,Lucius,Prescott,12.01
479,Blythe,Keighley,12.01
469,Levi,Cartmell,12.01
467,Welbie,Rockliffe,12.01
466,Jarad,Bauser,12.01
458,Osborn,Pentony,12.01
428,Freida,Everil,12.01
400,Sibeal,Fellow,12.01
382,Issiah,Fardell,12.01
359,Dulcine,Gauson,12.01
322,De,Denington,12.01
295,Lena,Chape,12.01
279,Tamera,Hinckes,12.01
246,Binny,Whight,12.01
214,Jeramie,Cellier,12.01
190,Hayley,Girardengo,12.01
180,Trisha,Neasham,12.01
150,Bradly,Crosse,12.01
101,Goran,Kwietek,12.01
88,Malynda,Tumber,12.01
80,Pablo,Small,12.01
56,Reese,Ensor,12.01
43,Indira,Belt,12.01
28,Fee,Zellmer,12.01
